_EST_NORM,n,codigos,ejemplos
INSTITUTO PARTICULAR MIXTO LICEO AMERICANO,2,"['12-09-0135-46', '12-09-0136-46']",['INSTITUTO PARTICULAR MIXTO LICEO AMERICANO']
INSTITUTO PARTICULAR MIXTO JOSE MARTI,2,"['00-01-0247-46', '00-01-0745-46']",['INSTITUTO PARTICULAR MIXTO JOSE MARTI']
INSTITUTO PARTICULAR MIXTO ISTMANIA,2,"['05-02-0001-46', '05-02-0217-46']",['INSTITUTO PARTICULAR MIXTO ISTMANIA']
INSTITUTO PARTICULAR MIXTO INTERCULTURAL DE MALACATANCITO,2,"['13-03-7095-46', '13-03-7096-46']",['INSTITUTO PARTICULAR MIXTO INTERCULTURAL DE MALACATANCITO']
INSTITUTO PARTICULAR MIXTO GENESIS,2,"['18-04-0429-46', '18-04-0431-46']",['INSTITUTO PARTICULAR MIXTO GENESIS']
INSTITUTO PARTICULAR MIXTO DIEGUEZ OLAVERRI,2,"['00-01-0244-46', '01-16-8008-46']",['INSTITUTO PARTICULAR MIXTO DIEGUEZ OLAVERRI']
CENTRO INTERCULTURAL DE COMPUTACION Y TURISMO C I C T,2,"['00-01-0380-46', '00-01-0383-46']",['CENTRO INTERCULTURAL DE COMPUTACION Y TURISMO C I C T']
CENTRO INTEGRAL DE ESTUDIOS EBENEZER PRIMAVERA,2,"['01-15-0776-46', '01-15-0777-46']",['CENTRO INTEGRAL DE ESTUDIOS EBENEZER PRIMAVERA']
CENTRO INTEGRADO DE COMPUTACION Y TURISMO,2,"['00-01-4732-46', '00-01-4733-46']",['CENTRO INTEGRADO DE COMPUTACION Y TURISMO']
CENTRO EXPERIMENTAL DEL PACIFICO POR MADUREZ,2,['11-07-1443-46'],['CENTRO EXPERIMENTAL DEL PACIFICO POR MADUREZ']
COLEGIO PARROQUIAL SAN PEDRO,2,"['04-12-0057-46', '13-08-0059-46']",['COLEGIO PARROQUIAL SAN PEDRO']
COLEGIO EVANGELICO ELIM,2,"['05-13-0057-46', '05-13-0572-46']",['COLEGIO EVANGELICO ELIM']
COLEGIO EVANGELICO CENTROAMERICANO BETHEL,2,"['05-02-0273-46', '05-02-0274-46']",['COLEGIO EVANGELICO CENTROAMERICANO BETHEL']
COLEGIO EVANGELICO C A ALFA Y OMEGA,2,"['12-07-0233-46', '12-07-0258-46']",['COLEGIO EVANGELICO C A ALFA Y OMEGA']
COLEGIO EVANGELICO BETHEL,2,"['07-18-0018-46', '07-18-0021-46']",['COLEGIO EVANGELICO BETHEL']
COLEGIO EVANGELICO BETHANIA,2,"['05-11-0040-46', '09-01-0137-46']",['COLEGIO EVANGELICO BETHANIA']
CENTRO PROFESIONAL DE ESTUDIOS EN COMPUTACION,2,"['00-01-7188-46', '00-11-3137-46']",['CENTRO PROFESIONAL DE ESTUDIOS EN COMPUTACION']
CENTRO OFICIAL DE EDUCACION EXTRAESCOLAR HUNAHPU E IXBALANQUE COEEX,2,['14-01-0270-46'],['CENTRO OFICIAL DE EDUCACION EXTRAESCOLAR HUNAHPU E IXBALANQUE COEEX']
CENTRO MIXTO EDUCATIVO EMILENO,2,"['00-21-3140-46', '01-01-2888-46']",['CENTRO MIXTO EDUCATIVO EMILENO']
CENTRO LOGISTICO INTEGRAL BILINGUE GUATEMALA CLIB GUATEMALA,2,"['01-08-0384-46', '01-08-0386-46']",['CENTRO LOGISTICO INTEGRAL BILINGUE GUATEMALA CLIB GUATEMALA']
INSTITUTO PARA MAESTRAS DE EDUCACION PREPRIMARIA INTERCULTURAL,2,"['20-09-0031-46', '20-09-0039-46']",['INSTITUTO PARA MAESTRAS DE EDUCACION PREPRIMARIA INTERCULTURAL']
INSTITUTO OFICIAL DIVERSIFICADO CON ORIENTACION EN COMPUTACION,2,['11-01-0076-46'],['INSTITUTO OFICIAL DIVERSIFICADO CON ORIENTACION EN COMPUTACION']
INSTITUTO OFICIAL DEL NIVEL MEDIO CICLO DIVERSIFICADO DE TELEBACHILLERATO,2,['11-09-1378-46'],['INSTITUTO OFICIAL DEL NIVEL MEDIO CICLO DIVERSIFICADO DE TELEBACHILLERATO']
INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ GENESIS,2,"['01-13-0128-46', '01-13-9528-46']",['INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ GENESIS']
INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ CAMBIO INTEGRAL,2,"['01-13-0122-46', '01-13-9526-46']",['INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ CAMBIO INTEGRAL']
INSTITUTO OFICIAL DE BACHILLERATO POR MADUREZ CANTEL,2,"['09-14-0046-46', '09-14-0878-46']",['INSTITUTO OFICIAL DE BACHILLERATO POR MADUREZ CANTEL']
INSTITUTO NORMAL ZACAPANECO PEM DAGOBERTO ENRIQUE GOMEZ HERNANDEZ,2,['19-01-0645-46'],['INSTITUTO NORMAL ZACAPANECO PEM DAGOBERTO ENRIQUE GOMEZ HERNANDEZ']
INSTITUTO NORMAL PRIVADO MIXTO JORGE RABBI MATUL GARCIA,2,"['10-17-0017-46', '10-17-2470-46']",['INSTITUTO NORMAL PRIVADO MIXTO JORGE RABBI MATUL GARCIA']
COLEGIO PARTICULAR MIXTO CARLOS V,2,"['16-01-1172-46', '16-01-1173-46']",['COLEGIO PARTICULAR MIXTO CARLOS V']
COLEGIO PARTICULAR MIXTO BILINGUE SAN PEDRO APOSTOL,2,"['22-17-0023-46', '22-17-0025-46']",['COLEGIO PARTICULAR MIXTO BILINGUE SAN PEDRO APOSTOL']
COLEGIO PARTICULAR MIXTO BILINGUE JOSE CECILIO DEL VALLE,2,"['18-01-3030-46', '18-01-3032-46']",['COLEGIO PARTICULAR MIXTO BILINGUE JOSE CECILIO DEL VALLE']
COLEGIO PARTICULAR MIXTO BILINGUE BLESSING,2,"['06-08-0079-46', '06-08-1467-46']",['COLEGIO PARTICULAR MIXTO BILINGUE BLESSING']
COLEGIO PARTICULAR MIXTO BELEN,2,"['22-16-0030-46', '22-16-0031-46']",['COLEGIO PARTICULAR MIXTO BELEN']
COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS,2,"['16-01-0613-46', '16-01-0619-46']",['COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS']
COLEGIO PARTICULAR MIXTO AGUABLANQUENSE,2,"['22-04-0030-46', '22-04-2086-46']",['COLEGIO PARTICULAR MIXTO AGUABLANQUENSE']
COLEGIO PARTICULAR ALPHA Y OMEGA,2,"['03-14-0028-46', '03-14-1167-46']",['COLEGIO PARTICULAR ALPHA Y OMEGA']
INSTITUTO NORMAL PRIVADO JUAN JOSE AREVALO BERMEJO,2,"['13-24-0021-46', '13-24-0037-46']",['INSTITUTO NORMAL PRIVADO JUAN JOSE AREVALO BERMEJO']
INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS AL INSTITUTO EMILIO ROSALES PONCE,2,"['16-01-0559-46', '16-01-8849-46']",['INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS AL INSTITUTO EMILIO ROSALES PONCE']
INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,2,"['16-01-0558-46', '16-01-2301-46']",['INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE']
INSTITUTO NORMAL PARA VARONES DE ORIENTE,2,"['20-01-0036-46', '20-01-0327-46']",['INSTITUTO NORMAL PARA VARONES DE ORIENTE']
INSTITUTO NORMAL PARA VARONES ANTONIO LARRAZABAL,2,"['03-01-0059-46', '03-01-0195-46']",['INSTITUTO NORMAL PARA VARONES ANTONIO LARRAZABAL']
INSTITUTO NORMAL PARA SENORITAS DE OCCIDENTE,2,"['09-01-0132-46', '09-01-3534-46']",['INSTITUTO NORMAL PARA SENORITAS DE OCCIDENTE']
INSTITUTO NORMAL PARA SENORITAS CENTRO AMERICA,2,"['00-01-0173-46', '00-01-0599-46']",['INSTITUTO NORMAL PARA SENORITAS CENTRO AMERICA']
INSTITUTO NORMAL MIXTO RAFAEL AQUECHE,2,"['00-01-0206-46', '00-01-0207-46']",['INSTITUTO NORMAL MIXTO RAFAEL AQUECHE']
INSTITUTO NORMAL MIXTO PRIVADO JUAN JOSE AREVALO BERMEJO,2,"['13-24-0036-46', '13-24-1078-46']",['INSTITUTO NORMAL MIXTO PRIVADO JUAN JOSE AREVALO BERMEJO']
COLEGIO PARTICULAR MIXTO DIOS DE ISRAEL,2,"['01-15-0689-46', '01-15-8330-46']",['COLEGIO PARTICULAR MIXTO DIOS DE ISRAEL']
COLEGIO PARTICULAR MIXTO DE MAGISTERIO,2,"['22-01-0020-46', '22-01-0255-46']",['COLEGIO PARTICULAR MIXTO DE MAGISTERIO']
COLEGIO PARTICULAR MIXTO DE DIVERSIFICADO LICEO SAN CRISTOBAL,2,"['22-07-0002-46', '22-07-2070-46']",['COLEGIO PARTICULAR MIXTO DE DIVERSIFICADO LICEO SAN CRISTOBAL']
COLEGIO PARTICULAR MIXTO DE CIENCIAS COMERCIALES,2,['19-01-0081-46'],['COLEGIO PARTICULAR MIXTO DE CIENCIAS COMERCIALES']
COLEGIO PARTICULAR MIXTO DAVENPORT CIDETRA,2,"['22-01-2444-46', '22-01-2500-46']",['COLEGIO PARTICULAR MIXTO DAVENPORT CIDETRA']
COLEGIO PARTICULAR MIXTO D ANTONI,2,['11-01-0074-46'],['COLEGIO PARTICULAR MIXTO D ANTONI']
COLEGIO PARTICULAR MIXTO CATOLICO NUESTRA SENORA DE LA ESPERANZA,2,"['20-11-0044-46', '20-11-1554-46']",['COLEGIO PARTICULAR MIXTO CATOLICO NUESTRA SENORA DE LA ESPERANZA']
INSTITUTO NORMAL MIXTO NOCTURNO,2,"['00-01-0208-46', '00-01-0720-46']",['INSTITUTO NORMAL MIXTO NOCTURNO']
INSTITUTO NORMAL MIXTO CARLOS DUBON,2,['11-01-0081-46'],['INSTITUTO NORMAL MIXTO CARLOS DUBON']
COLEGIO ABRAHAM LINCOLN,2,"['00-01-0393-46', '00-01-0394-46']",['COLEGIO ABRAHAM LINCOLN']
CENTRO TECNOLOGICO DE COMPUTACION LA MERCED S A,2,"['00-01-7086-46', '00-01-7597-46']",['CENTRO TECNOLOGICO DE COMPUTACION LA MERCED S A']
CENTRO TECNOLOGICO DA VINCI,2,"['00-01-0462-46', '00-01-0470-46']",['CENTRO TECNOLOGICO DA VINCI']
CENTRO TECNICO VOCACIONAL WILLIAM CORNELIUS,2,"['01-08-0034-46', '01-08-9817-46']",['CENTRO TECNICO VOCACIONAL WILLIAM CORNELIUS']
CENTRO TECNICO DE TURISMO BANCA Y COMERCIO JOHN GLENN,2,"['00-01-7093-46', '00-01-8082-46']",['CENTRO TECNICO DE TURISMO BANCA Y COMERCIO JOHN GLENN']
COLEGIO PARTICULAR MIXTO EL CARMEN,2,"['22-05-2080-46', '22-05-2081-46']",['COLEGIO PARTICULAR MIXTO EL CARMEN']
COLEGIO PARTICULAR MIXTO DIVINO MAESTRO,2,"['21-07-0119-46', '21-07-0122-46']",['COLEGIO PARTICULAR MIXTO DIVINO MAESTRO']
COLEGIO EVANGELICO AGUA VIVA,2,"['04-13-0030-46', '04-13-0045-46']",['COLEGIO EVANGELICO AGUA VIVA']
COLEGIO EVANGELICO ADONAI,2,['14-02-0027-46'],['COLEGIO EVANGELICO ADONAI']
COLEGIO EUROPEO,2,"['13-01-0417-46', '13-01-0419-46']",['COLEGIO EUROPEO']
COLEGIO ESCOLARIS,2,"['01-08-0863-46', '01-08-0871-46']",['COLEGIO ESCOLARIS']
CENTRO PROFESIONAL EDUCATIVO CPE,2,"['03-01-1100-46', '03-01-1303-46']",['CENTRO PROFESIONAL EDUCATIVO CPE']
INSTITUTO NACIONAL TECNOLOGICO,2,"['13-07-0075-46', '21-02-0099-46']",['INSTITUTO NACIONAL TECNOLOGICO']
INSTITUTO NACIONAL MARIA FERNANDA MEDRANO CORDON,2,"['01-06-0074-46', '01-06-0075-46']",['INSTITUTO NACIONAL MARIA FERNANDA MEDRANO CORDON']
INSTITUTO NACIONAL DIVERSIFICADO DE BACHILLERATO INDUSTRIAL LIC RODERICO SANTOS SEGURA TRUJILLO,2,"['17-06-0036-46', '17-06-0121-46']",['INSTITUTO NACIONAL DIVERSIFICADO DE BACHILLERATO INDUSTRIAL LIC RODERICO SANTOS SEGURA TRUJILLO']
INSTITUTO NACIONAL DE EDUCACION PROFESOR JERVIN ARSENIO FIGUEROA DUBON,2,"['01-12-0019-46', '01-12-0030-46']",['INSTITUTO NACIONAL DE EDUCACION PROFESOR JERVIN ARSENIO FIGUEROA DUBON']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SERGIO LEONEL CELIS NAVAS,2,"['03-04-0019-46', '03-04-0034-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SERGIO LEONEL CELIS NAVAS']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SANTO DOMINGO,2,"['04-16-0005-46', '10-06-0016-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SANTO DOMINGO']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SAN JULIAN,2,"['01-06-0008-46', '01-06-0142-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SAN JULIAN']
COLEGIO PARTICULAR MIXTO INTEGRAL EVOLUCION,2,"['22-01-0221-46', '22-01-0222-46']",['COLEGIO PARTICULAR MIXTO INTEGRAL EVOLUCION']
COLEGIO PARTICULAR MIXTO INMACULADA CONCEPCION,2,['11-07-0024-46'],['COLEGIO PARTICULAR MIXTO INMACULADA CONCEPCION']
COLEGIO PARTICULAR MIXTO FRAY BARTOLOME DE LAS CASAS,2,"['16-15-0127-46', '16-15-0174-46']",['COLEGIO PARTICULAR MIXTO FRAY BARTOLOME DE LAS CASAS']
COLEGIO PARTICULAR MIXTO ESCUINTLECO BILINGUE,2,"['05-01-0126-46', '05-01-0263-46']",['COLEGIO PARTICULAR MIXTO ESCUINTLECO BILINGUE']
COLEGIO PARTICULAR MIXTO EMMANUEL,2,"['05-07-0078-46', '05-07-0079-46']",['COLEGIO PARTICULAR MIXTO EMMANUEL']
COLEGIO PARTICULAR MIXTO EL REPARO,2,"['05-13-0087-46', '05-13-0100-46']",['COLEGIO PARTICULAR MIXTO EL REPARO']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SAN ANTONIO LAS FLORES,2,"['01-06-0146-46', '01-06-0147-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SAN ANTONIO LAS FLORES']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SALVANDO NUESTRA NATURALEZA,2,"['04-05-0015-46', '04-15-0009-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SALVANDO NUESTRA NATURALEZA']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA POAQUIL,2,"['04-02-0009-46', '04-02-0010-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA POAQUIL']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA NOCTURNO,2,['19-01-0180-46'],['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA NOCTURNO']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA INED 2 DE JUNIO,2,"['22-01-0374-46', '22-01-0375-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA INED 2 DE JUNIO']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ILUMINANDO EL MUNDO,2,"['04-02-0028-46', '04-15-0010-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ILUMINANDO EL MUNDO']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA EN TECNOLOGIA,2,"['01-07-0051-46', '01-07-0062-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA EN TECNOLOGIA']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA DON PASCUAL TAMBRIZ TZEP,2,"['07-06-0098-46', '07-06-0101-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA DON PASCUAL TAMBRIZ TZEP']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA CUYOTENANGO,2,"['10-02-0031-46', '10-02-0032-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA CUYOTENANGO']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA CESAR AUGUSTO MARTINEZ BARRIOS,2,['11-04-0011-46'],['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA CESAR AUGUSTO MARTINEZ BARRIOS']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA CARLOS BENJAMIN PAIZ AYALA,2,"['00-06-0032-46', '00-06-0033-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA CARLOS BENJAMIN PAIZ AYALA']
COLEGIO EN COMPUTACION VILLALOBOS,2,"['00-12-8115-46', '00-12-8117-46']",['COLEGIO EN COMPUTACION VILLALOBOS']
COLEGIO ELI,2,"['01-16-0140-46', '01-16-0142-46']",['COLEGIO ELI']
COLEGIO EL SHADDAI,2,"['02-03-0119-46', '02-03-0125-46']",['COLEGIO EL SHADDAI']
COLEGIO EL PUENTE,2,"['00-10-2523-46', '00-10-8264-46']",['COLEGIO EL PUENTE']
COLEGIO PARTICULAR MIXTO ISAIAS BARRIENTOS,2,"['16-09-8332-46', '16-09-8333-46']",['COLEGIO PARTICULAR MIXTO ISAIAS BARRIENTOS']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA 6 DE FEBRERO,2,"['04-06-0038-46', '04-06-0039-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA 6 DE FEBRERO']
INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO NUEVO AMANECER CON VISION,2,"['10-01-0245-46', '10-01-0387-46']",['INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO NUEVO AMANECER CON VISION']
INSTITUTO NACIONAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ,2,"['05-03-0047-46', '05-03-0048-46']",['INSTITUTO NACIONAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ']
INSTITUTO NACIONAL DE DEPORTES INADEP,2,['11-01-1417-46'],['INSTITUTO NACIONAL DE DEPORTES INADEP']
INSTITUTO NACIONAL DE BACHILLERATO EN CIENCIAS Y LETRAS POR MADUREZ SALOMON ALVAREZ ANDRADE,2,"['05-01-0457-46', '05-01-0840-46']",['INSTITUTO NACIONAL DE BACHILLERATO EN CIENCIAS Y LETRAS POR MADUREZ SALOMON ALVAREZ ANDRADE']
INSTITUTO NACIONAL CENTRAL PARA VARONES,2,"['00-01-0203-46', '00-01-2760-46']",['INSTITUTO NACIONAL CENTRAL PARA VARONES']
COLEGIO ADVENTISTA GETSEMANI,2,"['17-13-0105-46', '17-13-0157-46']",['COLEGIO ADVENTISTA GETSEMANI']
COLEGIO ADVENTISTA ENMANUEL,2,"['05-13-0071-46', '05-13-2369-46']",['COLEGIO ADVENTISTA ENMANUEL']
INSTITUTO MUNICIPAL DE SACAPULAS IMSAC,2,['14-16-0093-46'],['INSTITUTO MUNICIPAL DE SACAPULAS IMSAC']
INSTITUTO MUNICIPAL DE MAGISTERIO INTERCULTURAL,2,['14-18-5508-46'],['INSTITUTO MUNICIPAL DE MAGISTERIO INTERCULTURAL']
INSTITUTO MUNICIPAL DE EDUCACION MEDIA IMEM,2,"['10-17-0005-46', '10-17-0039-46']",['INSTITUTO MUNICIPAL DE EDUCACION MEDIA IMEM']
INSTITUTO MUNICIPAL DE EDUCACION DIVERSIFICADA BELEJU,2,['14-19-0081-46'],['INSTITUTO MUNICIPAL DE EDUCACION DIVERSIFICADA BELEJU']
COLEGIO EL PATRIARCA SAN JOSE,2,"['00-07-0252-46', '00-07-0253-46']",['COLEGIO EL PATRIARCA SAN JOSE']
COLEGIO EL EMILIO,2,"['00-01-0499-46', '00-01-0502-46']",['COLEGIO EL EMILIO']
COLEGIO EL CAMINO,2,"['00-01-0248-46', '00-01-0541-46']",['COLEGIO EL CAMINO']
COLEGIO EL ALAMO GUATEMALA,2,"['01-17-0162-46', '01-17-0300-46']",['COLEGIO EL ALAMO GUATEMALA']
COLEGIO EDUCATIVO PRIVADO DEL SUR,2,"['09-20-0121-46', '09-20-0151-46']",['COLEGIO EDUCATIVO PRIVADO DEL SUR']
COLEGIO PARTICULAR MIXTO LA ENSENANZA,2,"['05-02-0109-46', '05-02-0129-46']",['COLEGIO PARTICULAR MIXTO LA ENSENANZA']
COLEGIO AMERICANO HOWARD GARDNER,2,"['00-07-0176-46', '01-08-0084-46']",['COLEGIO AMERICANO HOWARD GARDNER']
COLEGIO ALTAMIRA,2,"['00-10-0038-46', '00-15-0010-46']",['COLEGIO ALTAMIRA']
COLEGIO ADVENTISTA REDENCION,2,"['20-09-0058-46', '20-09-0064-46']",['COLEGIO ADVENTISTA REDENCION']
COLEGIO ADVENTISTA ORION,2,"['03-02-0029-46', '12-17-0035-46']",['COLEGIO ADVENTISTA ORION']
COLEGIO ADVENTISTA MORIA,2,"['21-01-0377-46', '21-01-1130-46']",['COLEGIO ADVENTISTA MORIA']
INSTITUTO MUNICIPAL DE DIVERSIFICADO POCHUTA CENTENARIO,2,"['04-08-0005-46', '04-08-0006-46']",['INSTITUTO MUNICIPAL DE DIVERSIFICADO POCHUTA CENTENARIO']
INSTITUTO MUNICIPAL DE DIVERSIFICADO 2 DE JUNIO,2,"['21-01-0273-46', '22-01-0280-46']",['INSTITUTO MUNICIPAL DE DIVERSIFICADO 2 DE JUNIO']
INSTITUTO MUNICIPAL DE DIVERSIFICADO,2,"['05-03-2983-46', '22-07-2442-46']",['INSTITUTO MUNICIPAL DE DIVERSIFICADO']
INSTITUTO MUNICIPAL BR WERNER GADIEL MORALES HERNANDEZ,2,"['09-24-0037-46', '09-24-4075-46']",['INSTITUTO MUNICIPAL BR WERNER GADIEL MORALES HERNANDEZ']
INSTITUTO MODELO,2,"['00-01-0495-46', '00-01-9803-46']",['INSTITUTO MODELO']
INSTITUTO MIXTO VESPERTINO RAFAEL LANDIVAR,2,"['00-01-0301-46', '00-01-0303-46']",['INSTITUTO MIXTO VESPERTINO RAFAEL LANDIVAR']
INSTITUTO MIXTO RAFAEL LANDIVAR Y CABALLERO,2,"['00-01-0370-46', '00-01-2464-46']",['INSTITUTO MIXTO RAFAEL LANDIVAR Y CABALLERO']
COLEGIO PARTICULAR MIXTO MONTE SION,2,"['22-02-2250-46', '22-17-2459-46']",['COLEGIO PARTICULAR MIXTO MONTE SION']
COLEGIO PARTICULAR MIXTO MIGUEL ANGEL ASTURIAS POR MADUREZ,2,['11-07-1411-46'],['COLEGIO PARTICULAR MIXTO MIGUEL ANGEL ASTURIAS POR MADUREZ']
COLEGIO PARTICULAR MIXTO LUTERANO INTEGRAL LA RESURRECCION,2,['19-04-0065-46'],['COLEGIO PARTICULAR MIXTO LUTERANO INTEGRAL LA RESURRECCION']
COLEGIO PARTICULAR MIXTO LUTERANO EL DIVINO SALVADOR,2,['19-01-0085-46'],['COLEGIO PARTICULAR MIXTO LUTERANO EL DIVINO SALVADOR']
INSTITUTO MIXTO PRIVADO FRANCISCO OSWALDO REYES NARCISO,2,"['16-11-0003-46', '16-11-0062-46']",['INSTITUTO MIXTO PRIVADO FRANCISCO OSWALDO REYES NARCISO']
INSTITUTO MIXTO PRIVADO EDUCATIVO DE BACHILLERATO IMPEB,2,"['17-03-0111-46', '17-03-0130-46']",['INSTITUTO MIXTO PRIVADO EDUCATIVO DE BACHILLERATO IMPEB']
INSTITUTO MIXTO PRIVADO DE MAGISTERIO PRIMARIA BILINGUE,2,['14-21-4702-46'],['INSTITUTO MIXTO PRIVADO DE MAGISTERIO PRIMARIA BILINGUE']
INSTITUTO MIXTO POR COOPERATIVA DE DIVERSIFICADO LICENCIADO DAVID ESTUARDO RAMOS AVILES,2,['19-06-0005-46'],['INSTITUTO MIXTO POR COOPERATIVA DE DIVERSIFICADO LICENCIADO DAVID ESTUARDO RAMOS AVILES']
INSTITUTO MIXTO PARTICULAR PEM PEDRO CASTELLANOS TZUL,2,"['17-11-0069-46', '17-11-2839-46']",['INSTITUTO MIXTO PARTICULAR PEM PEDRO CASTELLANOS TZUL']
INSTITUTO MIXTO PARTICULAR DE EDUCACION BASICA Y DIVERSIFICADA ALMA LIBERTAD PEREZ MARTINEZ,2,"['05-01-0374-46', '05-01-0425-46']",['INSTITUTO MIXTO PARTICULAR DE EDUCACION BASICA Y DIVERSIFICADA ALMA LIBERTAD PEREZ MARTINEZ']
INSTITUTO MIXTO NOCTURNO DE EDUCACION DIVERSIFICADA POR MADUREZ PEDRO ARRIAZA MATA,2,"['00-01-0546-46', '00-01-0742-46']",['INSTITUTO MIXTO NOCTURNO DE EDUCACION DIVERSIFICADA POR MADUREZ PEDRO ARRIAZA MATA']
INSTITUTO MIXTO MUNICIPAL SANTIAGO SACATEPEQUEZ,2,"['03-06-1256-46', '03-06-1258-46']",['INSTITUTO MIXTO MUNICIPAL SANTIAGO SACATEPEQUEZ']
COLEGIO DIOCESANO MARIA AUXILIADORA,2,"['05-02-0068-46', '05-02-0069-46']",['COLEGIO DIOCESANO MARIA AUXILIADORA']
COLEGIO DE SENORITAS SANTA INES,2,"['00-02-0091-46', '00-02-0092-46']",['COLEGIO DE SENORITAS SANTA INES']
COLEGIO PARTICULAR MIXTO SACATEPEC,2,"['12-02-0207-46', '12-02-5260-46']",['COLEGIO PARTICULAR MIXTO SACATEPEC']
COLEGIO PARTICULAR MIXTO POR MADUREZ OSCAR DE LEON PALACIOS,2,"['21-01-0231-46', '21-01-0233-46']",['COLEGIO PARTICULAR MIXTO POR MADUREZ OSCAR DE LEON PALACIOS']
COLEGIO EDUCATIVO MIXTO ANGEL DE JEHOVA CEMAJ,2,"['09-20-0076-46', '09-20-0131-46']",['COLEGIO EDUCATIVO MIXTO ANGEL DE JEHOVA CEMAJ']
INSTITUTO MIXTO MUNICIPAL NOCTURNO DE EDUCACION DIVERSIFICADA,2,['11-06-0046-46'],['INSTITUTO MIXTO MUNICIPAL NOCTURNO DE EDUCACION DIVERSIFICADA']
COLEGIO ARRAYANES,2,"['00-13-8180-46', '01-02-9748-46']",['COLEGIO ARRAYANES']
COLEGIO AMOR Y SABIDURIA,2,"['01-15-0734-46', '01-15-7226-46']",['COLEGIO AMOR Y SABIDURIA']
COLEGIO AMERICANO SUPERIOR,2,"['03-01-0108-46', '03-01-0148-46']",['COLEGIO AMERICANO SUPERIOR']
COLEGIO AMERICANO PREUNIVERSITARIO,2,"['00-10-8629-46', '00-11-9211-46']",['COLEGIO AMERICANO PREUNIVERSITARIO']
INSTITUTO MIXTO MUNICIPAL DE EDUCACION DIVERSIFICADA UTZZ KAQI,2,['11-06-0070-46'],['INSTITUTO MIXTO MUNICIPAL DE EDUCACION DIVERSIFICADA UTZZ KAQI']
INSTITUTO MIXTO INTEGRAL MARIA CHINCHILLA,2,"['18-01-0254-46', '18-01-0256-46']",['INSTITUTO MIXTO INTEGRAL MARIA CHINCHILLA']
INSTITUTO MIXTO GUATEMALTECO ISRAELI,2,"['00-19-2592-46', '00-19-8326-46']",['INSTITUTO MIXTO GUATEMALTECO ISRAELI']
INSTITUTO MIXTO DIVERSIFICADO POR COOPERATIVA WATAN,2,['14-20-0134-46'],['INSTITUTO MIXTO DIVERSIFICADO POR COOPERATIVA WATAN']
